weight_kg,weight_pounds,draft_year,player,height_feet,country,draft_pick,height_m,birth,draft_round
109kg,240lb,1990,Alaa Abdelnaby,"6'10""",USA,25,2.08,6/24/1968,1
107kg,235lb,1968,Zaid Abdul-Aziz,"6'9""",USA,5,2.06,4/7/1946,1
73kg,162lb,1990,Mahmoud Abdul-Rauf,"6'1""",USA,3,1.85,3/9/1969,1
107kg,235lb,1997,Tariq Abdul-Wahad,"6'6""",FR,11,1.98,11/3/1974,1
111kg,245lb,1996,Shareef Abdur-Rahim,"6'9""",USA,3,2.06,12/11/1976,1
100kg,220lb,1976,Tom Abernethy,"6'7""",USA,43,2.01,5/6/1954,3
88kg,195lb,Undrafted,John Abramovic,"6'3""",USA,Undrafted,1.91,2/9/1919,Undrafted
91kg,200lb,2013,Alex Abrines,"6'6""",ES,32,1.98,8/1/1993,2
110kg,243lb,2020,Precious Achiuwa,"6'8""",NG,20,2.03,9/19/1999,1
95kg,210lb,Undrafted,Charles Acton,"6'6""",USA,Undrafted,1.98,1/11/1942,Undrafted
100kg,220lb,1985,Mark Acres,"6'11""",USA,40,2.11,11/15/1962,2
109kg,240lb,2012,Quincy Acy,"6'7""",USA,37,2.01,10/6/1990,2
95kg,210lb,1975,Alvan Adams,"6'9""",USA,4,2.06,7/19/1954,1
95kg,210lb,1970,Don Adams,"6'7""",USA,120,2.01,11/27/1947,8
100kg,220lb,2006,Hassan Adams,"6'4""",USA,54,1.93,6/20/1984,2
84kg,185lb,2005,Alex Acker,"6'5""",USA,60,1.96,1/21/1983,2
102kg,225lb,Undrafted,Jaylen Adams,"6'0""",USA,Undrafted,1.83,5/4/1996,Undrafted
95kg,209lb,2014,Jordan Adams,"6'5""",USA,22,1.96,7/8/1994,1
75kg,165lb,1985,Michael Adams,"5'10""",USA,66,1.78,1/19/1963,3
120kg,265lb,2013,Steven Adams,"6'11""",N/A,12,2.11,7/20/1993,1
109kg,241lb,1986,Rafael Addison,"6'8""",USA,39,2.03,7/22/1964,2
116kg,255lb,2017,Bam Adebayo,"6'9""",USA,14,2.06,7/18/1997,1
79kg,175lb,1968,Rick Adelman,"6'2""",USA,79,1.88,6/16/1946,7
95kg,210lb,2007,Arron Afflalo,"6'5""",USA,27,1.96,10/15/1985,1
98kg,215lb,2022,Ochai Agbaji,"6'5""",USA,14,1.96,4/20/2000,1
92kg,202lb,2006,Maurice Ager,"6'5""",USA,28,1.96,2/9/1984,1
105kg,232lb,1981,Mark Aguirre,"6'6""",USA,1,1.98,12/10/1959,1
86kg,190lb,Undrafted,Blake Ahearn,"6'2""",USA,Undrafted,1.88,5/27/1984,Undrafted
112kg,248lb,2008,Alexis Ajinca,"7'2""",FR,20,2.18,5/6/1988,1
102kg,225lb,1966,Henry Akin,"6'10""",USA,11,2.08,7/31/1944,2
79kg,175lb,1981,Danny Ainge,"6'5""",USA,31,1.96,3/17/1959,2
84kg,185lb,Undrafted,Josh Akognon,"5'11""",USA,Undrafted,1.8,2/10/1986,Undrafted
114kg,252lb,2010,Solomon Alabi,"7'1""",NG,50,2.16,3/21/1988,2
98kg,217lb,1986,Mark Alarie,"6'8""",USA,18,2.03,12/11/1963,1
102kg,225lb,1959,Gary Alcorn,"6'9""",USA,16,2.06,10/8/1936,3
