weight_kg,weight_pounds,draft_year,player,country,draft_pick,height_m,birth,height_ft,draft_round
109.0,240.0,1990,Alaa Abdelnaby,USA,25,208.0,"June 24, 1968","6'10""",1
107.0,235.0,1968,Zaid Abdul-Aziz,USA,5,206.0,"April 7, 1946","6'9""",1
107.0,235.0,1997,Tariq Abdul-Wahad,France,11,198.0,"November 3, 1974","6'6""",1
111.0,245.0,1996,Shareef Abdur-Rahim,USA,3,206.0,"December 11, 1976","6'9""",1
73.0,162.0,1990,Mahmoud Abdul-Rauf,USA,3,185.0,"March 9, 1969","6'1""",1
100.0,220.0,1976,Tom Abernethy,USA,43,201.0,"May 6, 1954","6'7""",3
88.0,195.0,Undrafted,John Abramovic,USA,Undrafted,191.0,"February 9, 1919","6'3""",Undrafted
91.0,200.0,2013,Alex Abrines,Spain,32,198.0,"August 1, 1993","6'6""",2
83.0,183.0,1953 ,Donald Ackerman,USA,N/A,183.0,"September 4, 1930","6'0""",N/A
100.0,220.0,1985,Mark Acres,USA,40,211.0,"November 15, 1962","6'11""",2
109.0,240.0,2012,Quincy Acy,USA,37,201.0,"October 6, 1990","6'7""",2
95.0,210.0,Undrafted,Charles Acton,USA,Undrafted,198.0,"January 11, 1942","6'6""",Undrafted
95.0,210.0,1975,Alvan Adams,USA,4,206.0,"July 19, 1954","6'9""",1
82.0,180.0,1956 ,Forest Able,USA,N/A,191.0,"July 27, 1932","6'3""",N/A
95.0,210.0,1970,Don Adams,USA,120,201.0,"November 27, 1947","6'7""",8
110.0,243.0,2020,Precious Achiuwa,Nigeria,20,203.0,"September 19, 1999","6'8""",1
100.0,220.0,2006,Hassan Adams,USA,54,193.0,"June 20, 1984","6'4""",2
95.0,209.0,2014,Jordan Adams,USA,22,196.0,"July 8, 1994","6'5""",1
102.0,225.0,Undrafted,Jaylen Adams,USA,Undrafted,183.0,"May 4, 1996","6'0""",Undrafted
75.0,165.0,1985,Michael Adams,USA,66,178.0,"January 19, 1963","5'10""",3
84.0,185.0,2005,Alex Acker,USA,60,196.0,"January 21, 1983","6'5""",2
120.0,265.0,2013,Steven Adams,New Zealand,12,211.0,"July 20, 1993","6'11""",1
109.0,241.0,1986,Rafael Addison,USA,39,203.0,"July 22, 1964","6'8""",2
91.0,200.0,2018 ,Deng Adel,South Sudan,N/A,201.0,"February 1, 1997","6'7""",N/A
116.0,255.0,2017,Bam Adebayo,USA,14,206.0,"July 18, 1997","6'9""",1
N/A,N/A,Undrafted,Jeff Adrien,USA,Undrafted,N/A,"February 10, 1986",N/A,Undrafted
79.0,175.0,1968,Rick Adelman,USA,79,188.0,"June 16, 1946","6'2""",7
95.0,210.0,2007,Arron Afflalo,USA,27,196.0,"October 15, 1985","6'5""",1
92.0,202.0,2006,Maurice Ager,USA,28,196.0,"February 9, 1984","6'5""",1
105.0,232.0,1981,Mark Aguirre,USA,1,198.0,"December 10, 1959","6'6""",1
112.0,248.0,2008,Alexis Ajinca,France,20,218.0,"May 6, 1988","7'2""",1
86.0,190.0,Undrafted,Blake Ahearn,USA,Undrafted,188.0,"May 27, 1984","6'2""",Undrafted
102.0,225.0,1966,Henry Akin,USA,11,208.0,"July 31, 1944","6'10""",2
98.0,215.0,2022,Ochai Agbaji,USA,14,196.0,"April 20, 2000","6'5""",1
84.0,185.0,Undrafted,Josh Akognon,USA,Undrafted,180.0,"February 10, 1986","5'11""",Undrafted
91.0,200.0,2016 ,DeVaughn Akoon-Purcell,Trinidad and Tobago,N/A,198.0,"June 5, 1993","6'6""",N/A
79.0,175.0,1981,Danny Ainge,USA,31,196.0,"March 17, 1959","6'5""",2
114.0,252.0,2010,Solomon Alabi,Nigeria,50,216.0,"March 21, 1988","7'1""",2
