gamedate,plus_minus_box,fg_pct,three_pa,tov,ftm,pf,w_l,oreb,dreb,min,ft_pct,fp,stl,three_ppct,fga,fta,pts,ast,fgm,three_pm,matchup,player,reb,team,blk
04/19/2000,-4,42.9,1,0,0,1,W,0,1,24,-,10.2,0,0.0,7,0,6,2,3,0,CHH vs. MIA,David Wesley,1,CHH,0
04/19/2000,1,60.0,0,2,0,3,W,1,4,26,-,13.0,1,-,5,0,6,0,3,0,DET vs. CHI,Michael Curry,5,DET,0
04/19/2000,-4,50.0,0,0,0,2,W,2,0,7,-,4.4,0,-,2,0,2,0,1,0,DET vs. CHI,Eric Montross,2,DET,0
04/19/2000,14,71.4,1,1,0,1,W,0,3,24,-,27.1,1,100,7,0,11,7,5,1,DET vs. CHI,John Crotty,3,DET,0
04/19/2000,20,66.7,0,1,4,2,W,0,3,22,66.7,23.6,1,-,6,6,12,2,4,0,DET vs. CHI,Mikki Moore,3,DET,1
04/19/2000,-5,25.0,0,0,0,0,L,0,1,15,-,6.2,0,-,4,0,2,2,1,0,CHI @ DET,B.J. Armstrong,1,CHI,0
04/19/2000,-16,46.2,4,3,2,1,L,0,3,42,100,26.1,3,25.0,13,2,15,1,6,1,CHI @ DET,Fred Hoiberg,3,CHI,0
04/19/2000,-12,55.6,0,3,12,5,L,6,5,43,70.6,52.7,1,-,18,17,32,1,10,0,CHI @ DET,Elton Brand,11,CHI,2
04/19/2000,4,71.4,1,3,2,4,W,0,0,28,66.7,16.5,1,0.0,7,3,12,3,5,0,DET vs. CHI,Christian Laettner,0,DET,0
04/19/2000,15,66.7,0,5,5,5,W,2,6,20,62.5,20.6,1,-,6,8,13,0,4,0,DET vs. CHI,Jerome Williams,8,DET,0
04/19/2000,9,42.9,3,1,2,3,W,1,2,25,100,16.6,1,0.0,7,2,8,2,3,0,DET vs. CHI,Lindsey Hunter,3,DET,0
04/19/2000,-3,18.2,2,4,3,3,L,0,2,30,75.0,8.4,1,0.0,11,4,7,0,2,0,HOU vs. VAN,Cuttino Mobley,2,HOU,0
04/19/2000,-3,-,0,1,0,0,L,0,2,8,-,8.9,1,-,0,0,0,1,0,0,HOU vs. VAN,Anthony Miller,2,HOU,1
04/19/2000,1,47.1,8,1,1,5,L,3,2,31,100,26.5,0,37.5,17,1,20,1,8,3,HOU vs. VAN,Walt Williams,5,HOU,0
04/19/2000,6,50.0,1,0,0,1,W,0,0,13,-,3.5,0,0.0,2,0,2,1,1,0,VAN @ HOU,Dennis Scott,0,VAN,0
04/19/2000,-1,66.7,0,0,3,3,L,2,6,24,50.0,41.1,2,-,9,6,15,1,6,0,SEA vs. LAC,Jelani McCoy,8,SEA,3
04/19/2000,-6,50.0,6,3,3,1,L,2,0,37,60.0,34.4,1,33.3,12,5,17,10,6,2,SEA vs. LAC,Shammond Williams,2,SEA,0
04/19/2000,8,38.1,8,3,3,0,W,6,3,45,100,39.8,1,50.0,21,3,23,4,8,4,LAC @ SEA,Tyrone Nesby,9,LAC,0
04/19/2000,-2,40.0,0,2,0,2,L,1,1,16,-,4.4,0,-,5,0,4,0,2,0,SEA vs. LAC,Ruben Patterson,2,SEA,0
04/19/2000,9,35.3,0,1,1,2,W,0,6,45,50.0,32.7,1,-,17,2,13,7,6,0,LAC @ SEA,Jeff McInnis,6,LAC,0
04/19/2000,-1,-,0,0,0,3,W,0,0,7,-,3.0,1,-,0,0,0,0,0,0,LAC @ SEA,Etdrick Bohannon,0,LAC,0
04/19/2000,-2,71.4,0,0,0,3,L,0,2,16,-,12.4,0,-,7,0,10,0,5,0,SEA vs. LAC,Greg Foster,2,SEA,0
04/19/2000,-6,66.7,0,1,3,1,L,3,4,32,75.0,31.9,0,-,6,4,11,7,4,0,SEA vs. LAC,Lazaro Borrell,7,SEA,1
04/19/2000,-7,41.7,0,2,0,5,L,2,3,24,0.0,24.5,1,-,12,2,10,1,5,0,SEA vs. LAC,Vin Baker,5,SEA,2
04/19/2000,3,-,0,1,0,0,W,0,2,7,-,1.4,0,-,0,0,0,0,0,0,LAC @ SEA,Anthony Avent,2,LAC,0
04/19/2000,14,76.9,8,0,1,5,W,1,1,40,50.0,38.4,1,75.0,13,2,27,4,10,6,LAC @ SEA,Eric Piatkowski,2,LAC,0
04/19/2000,-4,25.0,3,3,1,1,L,0,1,15,50.0,7.2,1,33.3,8,2,6,0,2,1,SEA vs. LAC,Fred Vinson,1,SEA,0
04/19/2000,5,36.8,0,1,1,2,W,3,9,41,50.0,32.9,0,-,19,2,15,1,7,0,LAC @ SEA,Michael Olowokandi,12,LAC,1
04/19/2000,-6,0.0,0,0,0,0,W,1,0,9,-,1.2,0,-,1,0,0,0,0,0,LAC @ SEA,Pete Chilcutt,1,LAC,0
04/19/2000,2,63.6,1,0,0,0,L,0,1,12,-,24.2,1,0.0,11,0,14,4,7,0,SEA vs. LAC,Gary Payton,1,SEA,0
04/19/2000,-6,44.4,6,0,0,5,L,3,1,32,-,21.8,1,50.0,9,0,11,0,4,3,SEA vs. LAC,Rashard Lewis,4,SEA,1
04/19/2000,14,47.4,1,5,14,4,W,6,8,39,93.3,70.3,1,100,19,15,33,7,9,1,LAC @ SEA,Lamar Odom,14,LAC,4
04/19/2000,-8,37.5,5,1,0,0,L,0,3,32,-,16.6,0,40.0,8,0,8,4,3,2,SEA vs. LAC,Brent Barry,3,SEA,0
04/19/2000,-6,25.0,2,0,0,0,W,3,0,9,-,9.6,0,50.0,4,0,3,2,1,1,LAC @ SEA,Charles R. Jones,3,LAC,0
04/19/2000,27,50.0,7,1,2,2,W,1,2,31,100,41.6,4,28.6,14,2,18,6,7,2,BOS vs. NYK,Kenny Anderson,3,BOS,0
04/19/2000,4,-,0,1,0,4,W,0,3,19,-,16.1,3,-,0,0,0,3,0,0,BOS vs. NYK,Adrian Griffin,3,BOS,0
04/19/2000,10,75.0,2,1,2,1,W,0,0,10,100,15.0,1,100,4,2,10,2,3,2,BOS vs. NYK,Doug Overton,0,BOS,0
04/19/2000,-11,36.4,3,2,0,2,L,1,4,31,-,14.5,0,33.3,11,0,9,1,4,1,NYK @ BOS,Rick Brunson,5,NYK,0
04/19/2000,-15,35.7,0,1,2,1,L,0,1,28,66.7,19.7,0,-,14,3,12,5,5,0,NYK @ BOS,Latrell Sprewell,1,NYK,0
04/19/2000,26,58.3,6,2,2,2,W,0,2,33,100,29.9,1,50.0,12,2,19,3,7,3,BOS vs. NYK,Paul Pierce,2,BOS,1
04/19/2000,5,62.5,1,1,7,2,W,0,1,21,87.5,27.7,1,0.0,8,8,17,1,5,0,BOS vs. NYK,Tony Battie,1,BOS,2
04/19/2000,16,33.3,0,1,2,3,W,3,3,20,100,22.2,1,-,12,2,10,2,4,0,BOS vs. NYK,Vitaly Potapenko,6,BOS,0
04/19/2000,-7,53.8,0,5,3,0,L,1,3,29,75.0,19.8,1,-,13,4,17,0,7,0,NYK @ BOS,John Wallace,4,NYK,0
04/19/2000,-8,27.3,0,1,1,3,L,6,1,26,50.0,26.4,1,-,11,2,7,4,3,0,NYK @ BOS,Kurt Thomas,7,NYK,1
04/19/2000,0,33.3,3,1,0,0,W,0,0,10,-,10.0,0,33.3,6,0,5,4,2,1,BOS vs. NYK,Dana Barros,0,BOS,0
04/19/2000,-20,25.0,0,2,2,0,L,2,2,19,100,6.8,0,-,4,2,4,0,1,0,NYK @ BOS,Larry Johnson,4,NYK,0
04/19/2000,10,83.3,1,2,0,0,W,0,2,28,-,34.9,1,100,12,0,21,7,10,1,DET vs. CHI,Jerry Stackhouse,2,DET,0
04/19/2000,0,66.7,0,0,0,1,W,1,0,7,-,8.2,0,-,3,0,4,0,2,0,DET vs. CHI,Loy Vaught,1,DET,1
04/19/2000,-6,41.7,4,1,2,3,L,2,6,35,100,32.1,2,25.0,12,2,13,3,5,1,HOU vs. VAN,Kenny Thomas,8,HOU,0
04/19/2000,-4,0.0,0,2,0,1,W,0,4,6,-,5.8,0,-,2,0,0,0,0,0,VAN @ HOU,Obinna Ekezie,4,VAN,1
04/19/2000,-1,25.0,5,0,0,1,L,3,4,19,-,13.4,0,20.0,8,0,5,0,2,1,LAL @ SAS,Devean George,7,LAL,0
04/19/2000,-13,25.0,3,2,0,2,W,0,2,21,-,10.9,0,33.3,4,0,3,5,1,1,SAS vs. LAL,Mario Elie,2,SAS,0
04/19/2000,6,75.0,0,1,0,2,W,2,7,24,-,27.8,2,-,8,0,12,0,6,0,SAS vs. LAL,Jerome Kersey,9,SAS,0
04/19/2000,-6,20.0,2,0,0,1,L,0,2,24,-,5.9,0,0.0,5,0,2,1,1,0,LAL @ SAS,John Celestand,2,LAL,0
04/19/2000,-15,25.0,2,1,2,2,L,0,1,15,66.7,7.2,0,0.0,4,3,4,0,1,0,LAL @ SAS,Robert Horry,1,LAL,1
04/19/2000,-12,40.0,0,0,0,5,L,0,5,21,-,11.5,0,-,5,0,4,1,2,0,LAL @ SAS,Travis Knight,5,LAL,0
04/19/2000,-7,0.0,0,0,0,2,W,0,2,8,-,8.4,0,-,1,0,0,0,0,0,SAS vs. LAL,Felton Spencer,2,SAS,2
04/19/2000,7,56.3,0,3,4,3,L,3,4,32,50.0,39.4,0,-,16,8,22,4,9,0,LAL @ SAS,Shaquille O'Neal,7,LAL,2
04/19/2000,6,44.4,0,0,1,2,L,4,4,24,50.0,30.6,2,-,9,2,9,4,4,0,LAL @ SAS,A.C. Green,8,LAL,0
04/19/2000,16,62.5,2,1,0,1,W,0,4,28,0.0,29.8,0,50.0,8,2,11,10,5,1,SAS vs. LAL,Antonio Daniels,4,SAS,0
04/19/2000,0,25.0,2,1,0,1,L,3,7,31,-,25.5,0,0.0,8,0,4,7,2,0,LAL @ SAS,Brian Shaw,10,LAL,0
04/19/2000,8,71.4,2,0,0,3,W,1,3,25,-,16.8,0,100,7,0,12,0,5,2,SAS vs. LAL,Sean Elliott,4,SAS,0
04/19/2000,-4,33.3,2,2,2,2,L,2,1,26,100,19.6,1,0.0,15,2,12,2,5,0,LAL @ SAS,Rick Fox,3,LAL,0
